City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Saint George,US,2022-05-01 21:23:02,37.1041,-113.5841,81.25,12,0,27.63
237,Atagay,RU,2022-05-01 21:27:54,55.1033,99.3875,47.14,87,100,8.59
238,Haines Junction,CA,2022-05-01 21:27:54,60.7522,-137.5108,44.55,49,97,4.61
239,Mount Gambier,AU,2022-05-01 21:27:55,-37.8333,140.7667,57.11,100,100,9.22
240,Basco,PH,2022-05-01 21:27:55,20.4487,121.9702,79.07,80,100,23.29
241,Kaoma,ZM,2022-05-01 21:27:56,-14.7833,24.8,58.19,69,0,5.68
242,Santa Luzia,BR,2022-05-01 21:25:42,-19.7697,-43.8514,77.9,53,0,6.91
243,Leningradskiy,RU,2022-05-01 21:27:57,69.3833,178.4167,12.76,77,39,7.81
244,Wilmington,US,2022-05-01 21:26:02,34.2257,-77.9447,80.51,52,0,16.11
245,Grand Gaube,MU,2022-05-01 21:27:57,-20.0064,57.6608,74.37,82,6,3.0
246,Ambanja,MG,2022-05-01 21:27:58,-13.6833,48.45,74.21,92,33,3.02
247,Tikrit,IQ,2022-05-01 21:27:59,34.6071,43.6782,70.86,58,6,12.77
248,Sciacca,IT,2022-05-01 21:27:59,37.5082,13.0881,56.98,65,0,6.8
249,Toktogul,KG,2022-05-01 21:28:00,41.8708,72.9402,64.76,49,96,3.78
250,Guerrero Negro,MX,2022-05-01 21:28:01,27.9769,-114.0611,70.11,52,0,16.11
251,Novyy Urgal,RU,2022-05-01 21:28:01,51.0736,132.5642,34.41,83,100,0.67
252,Nouadhibou,MR,2022-05-01 21:23:59,20.931,-17.0347,67.98,83,0,14.97
253,Saint-Joseph,RE,2022-05-01 21:28:02,-21.3667,55.6167,73.2,82,1,3.22
254,Caohai,CN,2022-05-01 21:28:02,26.8661,104.2841,37.67,89,100,5.41
255,Igarka,RU,2022-05-01 21:28:03,67.4667,86.5833,19.94,98,100,4.43
256,Taitung,TW,2022-05-01 21:28:04,22.7583,121.1444,69.91,86,100,13.85
257,Ilulissat,GL,2022-05-01 21:28:05,69.2167,-51.1,26.62,50,63,4.61
258,Banda Aceh,ID,2022-05-01 21:25:06,5.5577,95.3222,80.26,80,98,13.44
259,Grindavik,IS,2022-05-01 21:28:06,63.8424,-22.4338,41.47,70,0,3.44
