City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
39,Cabo San Lucas,22.8909,-109.9124,87.1,61,20,13.96,few clouds,MX,2022-05-02 00:48:13
40,Atar,20.5169,-13.0499,82.49,13,0,11.21,clear sky,MR,2022-05-02 00:48:35
41,Arraial Do Cabo,-22.9661,-42.0278,75.54,82,2,12.88,clear sky,BR,2022-05-02 00:48:33
42,Valdez,1.2492,-78.9831,78.87,81,99,4.68,overcast clouds,EC,2022-05-02 00:51:35
43,Hilo,19.7297,-155.09,76.28,93,100,10.36,heavy intensity rain,US,2022-05-02 00:52:35
44,Iqaluit,63.7506,-68.5145,26.33,86,40,6.91,scattered clouds,CA,2022-05-02 00:47:53
45,Winslow,35.0242,-110.6974,77.18,6,0,28.77,clear sky,US,2022-05-02 00:52:36
46,Castro,-24.7911,-50.0119,62.89,88,100,2.15,overcast clouds,BR,2022-05-02 00:52:36
47,Tabat,-2.635,115.2274,83.82,72,79,1.32,broken clouds,ID,2022-05-02 00:52:37
48,Yarada,17.65,83.2667,84.52,89,40,5.75,mist,IN,2022-05-02 00:52:38
49,Yar-Sale,66.8333,70.8333,9.63,87,13,6.15,few clouds,RU,2022-05-02 00:48:14
50,Santiago Del Estero,-27.7951,-64.2615,61.75,45,100,3.02,overcast clouds,AR,2022-05-02 00:51:36
51,Rio Gallegos,-51.6226,-69.2181,39.25,87,0,9.22,clear sky,AR,2022-05-02 00:52:39
52,Faanui,-16.4833,-151.75,81.41,72,54,8.28,light rain,PF,2022-05-02 00:52:39
53,Xining,36.6167,101.7667,39.51,51,0,3.2,clear sky,CN,2022-05-02 00:52:40
54,Mar Del Plata,-38.0023,-57.5575,51.87,72,75,18.01,light rain,AR,2022-05-02 00:47:10
55,Mataura,-46.1927,168.8643,63.48,55,26,5.37,scattered clouds,NZ,2022-05-02 00:45:40
56,Pisco,-13.7,-76.2167,64.45,82,0,13.8,clear sky,PE,2022-05-02 00:52:40
57,Santa Isabel,-23.3156,-46.2214,74.16,86,58,2.19,broken clouds,BR,2022-05-02 00:52:41
58,Vila Do Maio,15.1333,-23.2167,70.59,80,0,14.0,clear sky,CV,2022-05-02 00:52:42
