City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Tuyen Quang,VN,70.41,broken clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
591,Santa Adelia,BR,67.5,clear sky,-21.2428,-48.8042,Marri Hotel
592,Puerto Carreno,CO,79.68,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
596,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
600,Ishigaki,JP,68.77,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
601,Juybar,IR,60.4,overcast clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
603,Zomin,UZ,66.74,light rain,39.9606,68.3958,Zominlik bitta yaxshi qiz
606,Talara,PE,66.96,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
607,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
609,Rancho Palos Verdes,US,71.65,few clouds,33.7445,-118.387,Terranea Resort
610,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
614,Hami,CN,66.78,few clouds,42.8,93.45,Laoyutang Resort
615,Itaituba,BR,74.28,light rain,-4.2761,-55.9836,Hotel Campos
618,Foumbot,CM,65.88,light rain,5.5079,10.6356,HÔTEL ROYAL
620,Klyuchi,RU,63.5,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
635,Hoquiam,US,62.46,scattered clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
638,Vila Franca Do Campo,PT,66.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
641,Tura,IN,72.46,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
642,Robertson,US,73.38,clear sky,36.5167,-86.8667,Hampton Inn Springfield
643,Jaciara,BR,72.45,clear sky,-15.9653,-54.9683,Taba Hotel
646,Faya,SA,63.12,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
647,Apiai,BR,62.44,overcast clouds,-24.5094,-48.8425,Pousada Villa Branca
648,Tamandare,BR,77.0,few clouds,-8.7597,-35.1047,Pousada 100 Passos
